key;Kurztitel;Kurztitel der Editionen;Geschichtsquellen.de;Arlima.net;Quellen;Langtitel;Bde.;Verlinkt;Link;Band I;Band II;Band III;Band IV;Band V;Band VI
Böhmer-Lubich,_RI_III,2,3,3;Böhmer/Lubich, RI III,2,3,3;;;;;Regesta Imperii III. Salisches Haus 1024–1125, Tl. 2: 1056–1125, 3. Abt.: Die Regesten des Kaiserreichs unter Heinrich IV. 1056 (1050)–1106, Lfg. 3: 1076–1085, ed. Johann Friedrich Böhmer, Gerhard Lubich, Köln 2016.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_III_2_3_3.pdf;;;;;;
Böhmer-Mühlbacher,_RI_I;Böhmer/Mühlbacher, RI I;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918, ed. Johann Friedrich Böhmer, Engelbert Mühlbacher, Johann Lechner, Innsbruck 21908.;;;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009516-1 ;;;;;;
Böhmer-Oppl,_RI_IV,2,3;Böhmer/Oppl, RI IV,2,3;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 2. Abt.: Die Regesten des Kaiserreichs unter Friedrich I. 1152 (1122)–1190. Lfg. 3: 1168–1180, ed. Johann Friedrich Böhmer, Ferdinand Oppl, Wien 2001.;;;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009299-4 ;;;;;;
Böhmer-Ottenthal,_RI_II,1;Böhmer/Ottenthal, RI II,1;;;;;Regesta Imperii II. Sächsisches Haus 919–1024, 1. Abt.: Die Regesten des Kaiserreichs unter Heinrich I. und Otto I. 919–973, ed. Johann Friedrich Böhmer, Emil von Ottenthal, Innsbruck 1893.;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00009237-1;;;;;;
Böhmer-Petke,_RI_IV,1,1;Böhmer/Petke, RI IV,1,1;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 1. Abt.: Die Regesten des Kaissereichs unter Lothar III. und Konrad III, Tl. 1: Lothar III. 1125 (1075)–1137, ed. Johann Friedrich Böhmer, Wolfgang Petke, Köln 1994. ;;;http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009247-7 ;;;;;;
Böhmer-Schmidt,_RI_IV,4,4,3;Böhmer/Schmidt, RI IV,4,4,3;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 3: 1185–1187, Urban III. und Gregor VIII., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2012.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_3_ms.pdf ;;;;;;
Böhmer-Schmidt,_RI_IV,4,4,4;Böhmer/Schmidt, RI IV,4,4,4;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 4: 1187–1191, Clemens III., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2014.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_4_ms.pdf ;;;;;;
Böhmer-Schmidt,_RI_IV,4,4,5;Böhmer/Schmidt, RI IV,4,4,5;;;;;Regesta Imperii IV. Lothar III. und ältere Staufer 1125–1197, 4. Abt.: Papstregesten 1124–1198, Tl. 4, Lfg. 5: 1191–1195, Cölestin III., ed. Johann Friedrich Böhmer, Ulrich Schmidt, Köln 2018.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_IV_4_4_5.pdf ;;;;;;
Böhmer-Uhlirz,_RI_II,3;Böhmer/Uhlirz, RI II,3;;;;;Regesta Imperii II. Sächsisches Haus 919–1024, 3. Abt.: Die Regesten des Kaiserreichs unter Otto III., ed. Johann Friedrich Böhmer, Mathilde Uhrliz, Wien 1956.;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00009238-7;;;;;;
Böhmer-Unger,_RI_I,4,3;Böhmer/Unger, RI I,4,3;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 4: Papstregesten, 800–911, Tl. 3: 872–882, ed. Johann Friedrich Böhmer, Veronika Unger, Wien 2013.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_4_3_ms.pdf;;;;;;
Böhmer-Will,_Regesta_archiepiscoporum_Maguntinensium_II;Böhmer/Will, Regesta archiepiscoporum Maguntinensium II;;;;;Regesta archiepiscoporum Maguntinensium. Regesten zur Geschichte der Mainzer Erzbischöfe von Bonifatius bis Heinrich II. 742?–1288, Bd. 2: Von Konrad I. bis Heinrich II. 1161–1288, ed. Johann Friedrich Böhmer, Cornelius Will, Innsbruck 1886.;;;http://hdl.handle.net/2027/nnc1.0043888569 ;;;;;;
Böhmer-Zielinski,_RI_I,3,1;Böhmer/Zielinski, RI I,3,1;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 3: Die Regesten des Regnum Italiae und der burgundischen Regna, Tl. 1: Die Karolinger im Regnum Italiae 840–887 (888), ed. Johann Friedrich Böhmer, Herbert Zielinski, Köln 1991.;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00009233-9 ;;;;;;
Böhmer-Zielinski,_RI_I,3,2;Böhmer/Zielinski, RI I,3,2;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 3: Die Regesten des Regnum Italiae und der burgundischen Regna, Tl. 2: Das Regnum Italiae in der Zeit der Thronkämpfe und Reichsteilungen 888 (850)–926, ed. Johann Friedrich Böhmer, Herbert Zielinski, Köln 1998.;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00009234-5 ;;;;;;
Böhmer-Zielinski,_RI_I,3,3;Böhmer/Zielinski, RI I,3,3;;;;;Regesta Imperii I. Die Regesten des Kaiserreichs unter den Karolingern 751–918 (926/962), Bd. 3: Die Regesten des Regnum Italiae und der burgundischen Regna, Tl. 3: Das Regnum Italiae vom Regierungsantritt Hugos von Vienne bis zur Kaiserkrönung Ottos des Großen (926–962), ed. Johann Friedrich Böhmer, Herbert Zielinski, Köln 2006.;;;http://www.regesta-imperii.de/fileadmin/user_upload/downloads/RI_I_3_3_ms.pdf;;;;;;
Böhmer-Zimmermann,_RI_II,5;Böhmer/Zimmermann, RI II,5;;;;;Regesta Imperii II. Sächsisches Haus 919–1024, Bd. 5: Papstregesten 911–1024, ed. Johann Friedrich Böhmer, Harald Zimmermann, Wien 1998.;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00009240-8;;;;;;
Borino,_Cencio_del_prefetto_Stefano;Borino, Cencio del prefetto Stefano;;;;;Giovanni Battista Borino, Cencio del prefetto Stefano, l’attentatore di Gregorio VII, in: Studi Gregoriani 4 (1952), S. 373–440.;;;;;;;;;
Boshof,_Erzstift_Trier;Boshof, Erzstift Trier;;;;;Egon Boshof, Das Erzstift Trier und seine Stellung zu Königtum und Papsttum im ausgehenden zehnten Jahrhundert. Der Pontifikat des Theoderich, Köln 1972 (Studien und Vorarbeiten zur Germania Pontificia, 4).;;;;;;;;;
Boshof,_Regesten_der_Bischöfe_von_Passau;Boshof, Regesten der Bischöfe von Passau;;;;;Die Regesten der Bischöfe von Passau, ed. Egon Boshof, 3 Bde., München 1992–2004 (Regesten zur bayerischen Geschichte, 1–3).;I;;;;;;;;
Bredero,_Étude_sur_la_Vita_prima_de_Saint_Bernard;Bredero, Étude sur la Vita prima de Saint Bernard;;;;;Adrian Hendrik Bredero, Etudes sur la Vita prima de saint Bernard, Rom 1960.;;;;;;;;;
Bréquigny,_Table;Bréquigny, Table;;;;;Table chronologique des diplômes, chartes, titres et actes imprimés concernant l’histoire de France, ed. Louis Georges Oudart Feudrix de Bréquigny, Jean Marie Pardessus, Édouard de Laboulaye, 8 Bde., Paris 1769–1876.;I;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10327725-1 ;;;;;;
Brouette,_Cartulaire_du_prieuré_d’Aubigny;Brouette, Cartulaire du prieuré d’Aubigny;;;;;Émile Brouette, Le cartulaire du prieuré d’Aubigny-en-Artois, in: Augustiniana 12 (1962), S. 495–528.;;;;;;;;;
Browe,_Judenmission;Browe, Judenmission;;;;;Peter Browe, Die Judenmission im Mittelalter und die Päpste, Rom 1942 (Miscellanea historiae pontificiae, 8).;;;;;;;;;
Brunel,_Bulle_sur_papyrus;Brunel, Bulle sur papyrus;;;;;Clovis Brunel, Bulle sur papyrus de Benôit III pour l’abbaye de Corbie (855), Paris 1912 (Documents inédits sur l’abbaye, le comet et la ville de Corbie).;;;;;;;;;
Bulaeus,_Historia;Bulaeus, Historia;;;;;Historia universitatis Parisiensis, ed. Caesar Egassius Bulaeus, 6 Bde., Paris 1665–1673.;II;X;https://gallica.bnf.fr/ark:/12148/bpt6k947628/f509.image ;;;;;;
Bur,_Chronique;Bur, Chronique;;;;;Michel Bur, Chronique ou Livre de fondation du monastère de Mouzon. Chronicon Mosomense seu Liber fundationis monasterii sanctae Mariae O. S. B. apud Mosomum in dioecesi Remensi, Paris 1989 (Sources d’histoire médiévale).;;;;;;;;;
Bur,_Formation;Bur, Formation;;;;;Michel Bur, La formation du comté de Champagne, v. 950–v. 1150, Nancy 1977 (Annales de l’Est. Mémoires, 54).;;;;;;;;;
Buzelin,_Gallo-Flandria;Buzelin, Gallo-Flandria;;;;;Gallo-Flandria sacra et profana: in qua urbes, oppida, regiunculae, municipia, et pagi praecipui gallo-flandrici tractus describunter, horumque omnium locorum antiquitates, religio, mores, sacra aedificia, piae fundationes, principes gubernatores & magistratus proponuntur. Dein Annales Gallo-Flandriæ, ed. Joan Buzelin, Douai 1624.;;;;;;;;;
Calmet,_Histoire_de_Lorraine;Calmet, Histoire de Lorraine;;;;;Augustin Calmet, Histoire ecclésiastique et civile de Lorraine qui comprend ce qui s’est passé de plus mémorables dans l’archevêché de Trèves et dans les evêchez de Metz, Toul et Verdun depuis l’entrée de Jules César dans les Gaules jusqu’à la mort de Charles V, duc de Lorraine, arrivée en 1690, 3 Bde., Nancy 1728.;II;;;;https://books.google.fr/books?id=iRxZyGq-IkIC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;
Calmet,_Histoire_de_Lorraine_(2._Aufl.);Calmet, Histoire de Lorraine (2. Aufl.);;;;;Augustin Calmet, Histoire de Lorraine qui comprend ce qui s’est passé de plus mémorables dans l’archevêché de Trèves et dans les evêchez de Metz, Toul et Verdun depuis l’entrée de Jules César dans les Gaules jusqu’à la cession de la Lorraine, arrivée en 1737 inclusivement, 7 Bde., Nancy 21745–1757.;VI;;https://books.google.de/books?id=r9FfAAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;;;;;;
Cartellieri,_Abt_Suger;Cartellieri, Abt Suger;;;;;Otto Cartellieri, Abt Suger von Saint-Denis 1081–1151, Berlin 1898 (Historische Studien, 11).;;;;;;;;;
Cartellieri,_Philipp_II._August;Cartellieri, Philipp II. August;;;;;Alexander Cartellieri, Philipp II. August, König von Frankreich, 4 Bde., Leipzig 1899–1922.;I, Beilagen;;;;;;;;
Caspar,_Papsttum;Caspar, Papsttum;;;;;Erich Caspar, Geschichte des Papsttums. Von den Anfängen bis zur Höhe der Weltherrschaft, 2 Bde., Tübingen 1930–1933.;II;;;;;;;;
Cellotius,_Concilium_Duziacense_I;Cellotius, Concilium Duziacense I;;;;;Concilium Duziacense I. anno Domini DCCCLXXI celebratum, cum aliis Hincmari utriusque opusculis, ed. Louis Cellot, Paris 1658.;;;https://books.google.fr/books?id=ApWNXkT1A-QC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;;;;;;
Chaix_de_Lavarène,_Bullaire;Chaix de Lavarène, Bullaire;;;;;Louis Antoine Clément Chaix de Lavarène, Bullaire de l’Auvergne depuis les origines de la diplomatique pontificale dans cette province jusqu’à la fin du XVIIIe siècle, in: Mémoires de l’Académie des sciences, belles-lettres et arts de Clermont-Ferrand 19 (1877), S. 23–134, 275–340, 447–496. ;;;;;;;;;
Chaix_de_Lavarène,_Monumenta_pontificia_Arverniae;Chaix de Lavarène, Monumenta pontificia Arverniae;;;;;Monumenta pontificia Arverniae decurrentibus IXo, Xo, XIo, XIIo saeculis. Correspondance diplomatique des papes concernant l’Auvergne depuis le pontificat de Nicolas I jusqu’à celui d’Innocent III, ed. Louis Antoine Clément Chaix de Lavarène, Clermont-Ferrand 1880.;;X;https://gallica.bnf.fr/ark:/12148/bpt6k5729894v.texteImage;;;;;;
;;;;;;;;;;;;;;;
Champollion-Figeac,_Documents_historiques_inédits;Champollion-Figeac, Documents historiques inédits;;;;;Documents historiques inédits tirés des collections manuscrites de la Bibliothèque nationale et des archives ou des bibliothèques des départements, ed. Jean-Jacques Champollion-Figeac, 5 Bde., Paris 1841–1851.;I;;;;;;;;
Chartae_Galliae;Chartae Galliae;;;;;Chartae Galliae. Edition électronique: Institut de recherche et d’histoire des textes, Orléans 2014 (TELMA), URL: http://www.cn-telma.fr/chartae-galliae/index/.;;;;;;;;;
Chartes_Originales;Chartes Originales;;;;;Chartes originales antérieures à 1121 conservées en France, ed. Cédric Giraud, Jean-Baptiste Renault, Benoît-Michel Tock, Nancy, Orléans 2010 (TELMA), URL: http://telma.irht.cnrs.fr//outils/originaux/index/.;;;;;;;;;
Chibnall,_The_Ecclesiastical_History;Chibnall, The Ecclesiastical History;;;;;Ordericus Vitalis Historia Ecclesiastica, ed. Marjorie MacCallum Chibnall, 6 Bde., Oxford 1969–1980.;6;;;;;;;;
Chibnall,_Memoirs_of_the_Papal_Court;Chibnall, Memoirs of the Papal Court;;;;;John of Salisbury’s Memoirs of the Papal Court, ed. Marjorie MacCallum Chibnall, London 1962 (Medieval texts).;;;;;;;;;
Chodorow,_Dishonest_Litigation;Chodorow, Dishonest Litigation;;;;;Stanley A. Chodorow, Dishonest Litigation in the Church Courts, 1140–98, in: Kennetz Pennington, Robert Somerville (Hg.), Law, Church, and Society. Essays in Honor of Stephan Kuttner, Philadelphia 1977, S. 187–206.;;;;;;;;;
Chodorow-Duggan,_Decretales_ineditae;Chodorow/Duggan, Decretales ineditae;;;;;Decretales ineditae saeculi duodecimi. From the papers of the late Walther Holtzmann, ed. Stanley A. Chodorow, Charles Duggan, Vatikanstadt 1982 (Monumenta iuris canonici, B/4).;;;;;;;;;
Christensen-Nielsen-Weibull,_Diplomatarium_Danicum;Christensen/Nielsen/Weibull, Diplomatarium Danicum;;;;;Diplomatarium Danicum. Raekke 1, Bd. 3: Diplomer 1170–1199. Epistolae abbatis Willelmi de Paraclito, ed. Carl Andreas Christensen, Herluf Nielsen, Lauritz Weibull Kopenhagen 1976–1977.;I,3;;;;;;;;
Classen,_Rom_und_Paris:_Kurie_und_Universität;Classen, Rom und Paris: Kurie und Universität;;;;;Peter Classen, Rom und Paris: Kurie und Universität im 12. und 13. Jahrhundert, in: Peter Classen, Johannes Fried (Hg.), Studium und Gesellschaft im Mittelalter, Stuttgart 1983 (MGH Schriften, 29), S. 127–169.;;;;;;;;;
Clover-Gibson,_The_Letters_of_Lanfranc_Archbishop_of_Canterbury;Clover/Gibson, The Letters of Lanfranc Archbishop of Canterbury;;;;;The Letters of Lanfranc archbishop of Canterbury, ed. Helen Clover, Margaret Templeton Gibson, Oxford 1979 (Oxford medieval texts).;;;;;;;;;
Cocquelines,_Bullarum_Collectio;Cocquelines, Bullarum Collectio;;;;;Bullarum privilegiorum ac diplomatum romanorum pontificum amplissima collectio, ed. Charles Cocquelines, 6 Bde., Rom 1739–1762.;"I ; III";; ;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10488359-2;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10488361-0;;;
Colker,_Anecdota_mediaevalia;Colker, Anecdota mediaevalia;;;;;Marvin Leonard Colker, Anecdota Mediaevalia, in: Traditio 17 (1961), S. 469–482.;;;http://www.jstor.org/action/showPublication?journalCode=traditio ;;;;;;
Colliette,_Mémoires;Colliette, Mémoires;;;;;Mémoires pour servir à l’histoire ecclésiastique, civile et militaire, de la province du Vermandois, ed. Louis-Paul Colliette, 3 Bde., Cambrai 1771–1772.;II;;;;;;;;
Constable,_Disputed_election;Constable, Disputed election;;;;;Giles Constable, The Disputed Election at Langres in 1138, in: Traditio 13 (1957), S. 119–152.;;;http://www.jstor.org/action/showPublication?journalCode=traditio ;;;;;;
Constable,_Letters_of_Peter_the_Venerable;Constable, Letters of Peter the Venerable;;;;;Giles Constable, The letters of Peter the Venerable, Cambridge, Mass. 1967 (Harvard historical studies, 78).;"I ; II";;;;;;;;
Constable,_Monastic_Tithes;Constable, Monastic Tithes;;;;;Giles Constable, Monastic tithes from their origins to the twelfth century, Cambridge 1964 (Cambridge studies in medieval life and thought, NS 10).;;;;;;;;;
Cossé-Durlin,_Cartulaire_Saint-Nicaise;Cossé-Durlin, Cartulaire Saint-Nicaise;;;;;Cartulaire de Saint-Nicaise de Reims (XIIIe siècle), ed. Jeannine Cossé-Durlin, Paris 1991 (Documents, études et répertoires, 59).;;;;;;;;;
Cousin,_Abbon;Cousin, Abbon;;;;;Patrice Cousin, Abbon de Fleury-sur-Loire. Un savant, un pasteur, un martyr à la fin du Xe siècle, Paris 1954.;;;;;;;;;
de_Coussemaker,_Cartulaire_Cysoing;de Coussemaker, Cartulaire Cysoing;;;;;Cartulaire de l’abbaye de Cysoing et de ses dépendances, ed. Ignace de Coussemaker, Lille 1884.;;;;;;;;;
de_Coussemaker,_Maison_de_lépreux_Lez-Bourbourg;de Coussemaker, Maison de lépreux Lez-Bourbourg;;;;;Ignace de Coussemaker, Maison de lépreux Lez-Bourbourg, in: Annales du Comité Flamand de France 8 (1864–1865), S. 297–343.;;;;;;;;;
de_Coussemaker,_Un_cartulaire_de_N.-D._de_Bourbourg;de Coussemaker, Un cartulaire de N.-D. de Bourbourg;;;;;Un cartulaire de l’abbaye de Notre-Dame de Bourbourg, ed. Ignace de Coussemaker, 3 Bde., Lille 1882–1891.;I;; ;http://nordnum.univ-lille.fr/ark:/72505/a0114742899326YS8ow/9ea569a79b;http://nordnum.univ-lille.fr/ark:/72505/a011474289932m6EHDm/cfee686f60;;;;
Cowdrey,_Epistolae_vagantes;Cowdrey, Epistolae vagantes;;;;;The epistolae vagantes of pope Gregory VII, ed. Herbert Edward John Cowdrey, Oxford 1972 (Oxford medieval texts).;;;;;;;;;
Cowdrey,_Pope_Gregory_VII;Cowdrey, Pope Gregory VII;;;;;Herbert Edward John Cowdrey, Pope Gregory VII 1073–1085, London 1998.;;;;;;;;;
Deffense_des_privileges_de_S._Martin_de_Tours,_Titres_et_pièces_justificatives;Deffense des privileges de S. Martin de Tours, Titres et pièces justificatives;;;;;Paulus du Mesnil, Abrégé de la deffense des privileges de la noble et insigne Eglise de S. Martin de Tours, sujete sans moyen au S. Siege apostolique. Contre l’appel comme d’abus interjetté par messire Mathieu Isoré d’Hervault, conseiller du roy en ses conseils, archevêque de Tours, Paris 1709.;;;https://books.google.fr/books?id=MYNmN2rzVPcC&redir_esc=y ;;;;;;
Delaborde,_Jean_de_Joinville;Delaborde, Jean de Joinville;;;;;Henri-François Delaborde, Jean de Joinville et les seigneurs de Joinville. Suivi d’un catalogue de leurs actes, Paris 1894.;;;;;;;;;
Delaborde,_Recueil_des_actes_de_Philippe_Auguste;Delaborde, Recueil des actes de Philippe Auguste;;;;;Recueil des actes de Philippe Auguste roi de France, ed. Henri-François Delaborde, 2 Bde., Paris 1916 (Chartes et diplômes relatifs à l’histoire de France, 6).;I;X;http://gallica.bnf.fr/ark:/12148/bpt6k114540f ;;;;;;
Delalande,_Conciliorum_antiquorum_Galliae_supplementa;Delalande, Conciliorum antiquorum Galliae supplementa;;;;;Pierre Delalande, Conciliorum Antiquorum Galliae a Iacobo Sirmondo editorum Supplementa nunc produnt, Paris 1666.;;;https://books.google.fr/books?id=NdbvsIEHkZAC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;;;;;;
Delaville_le_Roulx,_Cartulaire;Delaville le Roulx, Cartulaire;;;;;Cartulaire général de l’ordre des hospitaliers de Saint Jean de Jérusalem 1100–1310, ed. Joseph Delaville Le Roulx, 4 Bde., Paris 1894–1906.;I;;;;;;;;
Delehaye,_Pierre_de_Pavie;Delehaye, Pierre de Pavie;;;;;Hippolyte Delehaye, Le légat Pierre de Pavie, chanoine de Chartres, in: Revue des questions historiques 51 (1892), S. 244–252.;;;;;;;;;
Delisle-Berger,_Recueil_des_actes_de_Henri_II;Delisle/Berger, Recueil des actes de Henri II;;;;;Recueil des actes de Henri II, roi d’Angleterre et duc de Normandie, concernant les provinces françaises et les affaires de France, ed. Leopold Victor Delisle, Elie Berger, 3 Bde., Paris 1916–1927.;;; ;;http://gallica.bnf.fr/ark:/12148/bpt6k58996;http://gallica.bnf.fr/ark:/12148/bpt6k59005;;;
Delmaire,_Le_diocèse_d’Arras;Delmaire, Le diocèse d’Arras;;;;;Bernard Delmaire, Le diocèse d’Arras de 1093 au milieu du XIVe siècle. Recherches sur la vie religieuse dans le nord de la France au Moyen Âge, 2 Bde., Arras 1994 (Mémoires de la Commission départementale des monuments historiques du Pas-de-Calais, 31).;II;;;;;;;;
Delmaire-Delmaire,_Les_limites_de_la_cité_des_Atrébates;Delmaire/Delmaire, Les limites de la cité des Atrébates;;;;;Bernard Delmaire, Roland Delmaire, Les limites de la cité des Atrébates (nouvelle approche d’un vieux problème), in: Revue du Nord 72 (1990), S. 697–736.;;;;;;;;;
Demouy,_Genèse;Demouy, Genèse;;;;;Patrick Demouy, Genèse d’une cathédrale: les archevèques de Reims et leur Église aux XIe et XIIe siècles, Langres 2005.;;;;;;;;;
Demouy,_Recueil;Demouy, Recueil;;;;;Recueil des actes des archevêques de Reims d’Arnoul à Renaud II (997–1139), ed. Patrick Demouy, Nancy 1982.;II;;https://hal.univ-lorraine.fr/tel-01776355 ;;;;;;
Denifle-Châtelain,_Chartularium_universitatis_Parisiensis;Denifle/Châtelain, Chartularium universitatis Parisiensis;;;;;Chartularium universitatis parisiensis, ed. Emile Chatelain, Heinrich Denifle, 4 Bde., Paris 1889–1897.;I;X;http://www.archive.org/details/chartulariumuni03mogoog ;;;;;;
Desilve,_Lettres_d’Étienne_de_Tournai;Desilve, Lettres d’Étienne de Tournai;;;;;Lettres d’Étienne de Tournai. Nouvelle édition, ed. Jules Desilve, Valenciennes, Paris 1893.;;;https://books.google.fr/books?id=fbcvAQAAMAAJ&printsec=frontcover&hl=de&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false ;;;;;;
Desportes,_Reims_et_les_Rémois;Desportes, Reims et les Rémois;;;;;Pierre Desportes, Reims et les Rémois aux XIIIe et XIVe siècles, 2 Bde., Lille 1977.;;;;;;;;;
Devisse,_Hincmar;Devisse, Hincmar;;;;;Jean Devisse, Hincmar, archevêque de Reims, 845–882, 3 Bde., Genève 1975–1976 (Travaux d’histoire éthico-politique, 29).;"I ; II";;;;;;;;
